VMA5	ATP6V1C1
VMA5	ATP6V1C2
VMA8	ATP6V1D
VMA4	ATP6V1E1
VMA4	ATP6V1E2
VMA7	ATP6V1F
VMA10	ATP6V1G1
VMA10	ATP6V1G2
VMA10	ATP6V1G3
VMA13	ATP6V1H
CCC2	ATP7A
CCC2	ATP7B
DRS2	ATP8A1
DRS2	ATP8A2
NEO1	ATP9A
NEO1	ATP9B
NCS6	ATPBD3
MEC1	ATR
PBP1	ATXN2
PBP1	ATXN2L
IPL1	AURKA
IPL1	AURKB
IPL1	AURKC
AVL9	AVL9
SPE1	AZIN1
YPL216W	BAZ1A
ITC1	BAZ1B
YHL021C	BBOX1
YET3	BCAP29
YET3	BCAP31
BAT2	BCAT1
BAT1	BCAT2
BCP1	BCCIP
PKP1	BCKDK
BEM3	BCR
BCS1	BCS1L
VPS30	BECN1
BET3	BET3L
MHT1	BHMT
RVS167	BIN2
RVS161	BIN3
SGS1	BLM
LAP3	BLMH
BMS1	BMS1
YAL044W-A	BOLA1
FRA2	BOLA2
YAL046C	BOLA3
ERB1	BOP1
GPM1	BPGM
YHL010C	BRAP
BDF1	BRD3
BDF2	BRD4
BRF1	BRF1
YGR243W	BRP44
YHR162W	BRP44
YGL080W	BRP44L
MOT1	BTAF1
BTT1	BTF3
EGD1	BTF3L4
BUB1	BUB1
BUD31	BUD31
RPF2	BXDC1
BRX1	BXDC2
RPF1	BXDC5
ENP1	BYSL
OPI10	C11orf73
MDM20	C12orf30
YLR281C	C12orf65
ERG28	C14orf1
NOP9	C14orf21
YOR006C	C16orf42
HVG1	C18orf45
VRG4	C18orf45
YIL091C	C1orf107
YCR090C	C1orf123
YCL057C-A	C1orf151
YIL110W	C1orf156
IBA57	C1orf69
GID8	C20orf11
OXR1	C20orf118
EAF7	C20orf20
AAR2	C20orf4
YKR074W	C2orf76
YMR027W	C6orf211
YCR016W	C7orf50
HGH1	C8orf30A
YDR248C	C9orf103
YNL092W	C9orf41
HYM1	CAB39
HYM1	CAB39L
ABC1	CABC1
CCH1	CACNA1A
CCH1	CACNA1B
CCH1	CACNA1C
CCH1	CACNA1D
CCH1	CACNA1E
CCH1	CACNA1F
CCH1	CACNA1G
CCH1	CACNA1H
CCH1	CACNA1I
CCH1	CACNA1S
URA2	CAD
CMD1	CALM1
CMD1	CALM2
CMD1	CALM3
CMD1	CALML3
CNE1	CALR
CMK2	CAMK1
CMK1	CAMK1D
CMK2	CAMK1G
CMK2	CAMK4
TOS3	CAMKK1
TOS3	CAMKK2
CMK2	CAMKV
CNE1	CANX
SRV2	CAP1
SRV2	CAP2
RIM13	CAPN7
CAP1	CAPZA1
CAP1	CAPZA2
CAP1	CAPZA3
CAP2	CAPZB
YKL151C	CARKD
YNL247W	CARS
CTA1	CAT
CYS4	CBS
YNR029C	CBWD1
YNR029C	CBWD2
BNA3	CCBL1
BNA3	CCBL2
JLP2	CCDC25
YLR271W	CCDC75
TRM13	CCDC76
YFL046W	CCDC90A
YFL046W	CCDC90B
YJU2	CCDC94
CLB1	CCNB1
CLB2	CCNB2
SSN8	CCNC
CCL1	CCNH
CCT2	CCT2
CCT3	CCT3
CCT4	CCT4
CCT5	CCT5
CCT6	CCT6A
CCT6	CCT6B
CCT7	CCT7
CCT8	CCT8
CDD1	CDA
CDC123	CDC123
CDC14	CDC14A
CDC14	CDC14C
CDC16	CDC16
CDC23	CDC23
MIH1	CDC25A
MIH1	CDC25B
MIH1	CDC25C
CDC27	CDC27
BCK1	CDC2L5
SSN3	CDC2L6
CDC34	CDC34
CDC40	CDC40
PKH3	CDC42BPA
PKH3	CDC42BPG
CDC45	CDC45L
CDC6	CDC6
CDC7	CDC7
CDC73	CDC73
PIS1	CDIPT
CDC28	CDK2
CDC28	CDK3
KIN28	CDK7
SSN3	CDK8
CTK1	CDK9
CDS1	CDS1
MAK21	CEBPZ
YKR070W	CECR5
PDC2	CENPB
CDC31	CETN3
SWC5	CFDP1
COF1	CFL1
COF1	CFL2
YER163C	CHAC1
YER163C	CHAC2
CAC2	CHAF1B
CAT2	CHAT
MIC17	CHCHD10
MIC17	CHCHD2
MIC17	CHCHD9
CHD1	CHD1
CHD1	CHD2
CHK1	CHEK1
DUN1	CHEK2
CTS2	CHI3L1
CTS2	CHI3L2
EKI1	CHKA
CKI1	CHKB
DID4	CHMP2A
SNF7	CHMP4A
SNF7	CHMP4B
SNF7	CHMP4C
VPS60	CHMP5
VPS20	CHMP6
DPB3	CHRAC1
DLS1	CHRAC1
CTF18	CHTF18
UTP4	CIRH1A
CKS1	CKS1B
CKS1	CKS2
GEF1	CLCN3
GEF1	CLCN4
GEF1	CLCN5
CNE1	CLGN
NIP100	CLIP1
KNS1	CLK1
KNS1	CLK2
KNS1	CLK3
KNS1	CLK4
YHC3	CLN3
CLP1	CLP1
MCX1	CLPX
CHC1	CLTC
CHC1	CLTCL1
YAL049C	CMBL
URA6	CMPK1
GIS2	CNBP
DUG1	CNDP1
DUG1	CNDP2
SCP1	CNN1
SCP1	CNN2
MAM3	CNNM1
MAM3	CNNM2
MAM3	CNNM3
MAM3	CNNM4
CDC39	CNOT1
NOT3	CNOT3
NOT5	CNOT3
MOT2	CNOT4
CCR4	CNOT6
CCR4	CNOT6L
POP2	CNOT7
POP2	CNOT8
COG3	COG3
COG4	COG4
COG6	COG6
COP1	COPA
SEC26	COPB1
SEC27	COPB2
SEC28	COPE
SEC21	COPG
RET3	COPZ1
RET3	COPZ2
COQ10	COQ10B
COQ2	COQ2
COQ3	COQ3
COQ4	COQ4
COQ5	COQ5
COQ6	COQ6
CAT5	COQ7
CRN1	CORO1A
CRN1	CORO1B
CRN1	CORO1C
CRN1	CORO2A
CRN1	CORO6
COX10	COX10
COX11	COX11
COX15	COX15
COX17	COX17
COX19	COX19
COX6	COX5A
COX4	COX5B
COX13	COX6A1
COX13	COX6A2
COX12	COX6B1
ECM14	CPA1
ECM14	CPA2
ECM14	CPA4
ECM14	CPA5
ECM14	CPB1
ECM14	CPB2
HEM13	CPOX
CFT1	CPSF1
CFT2	CPSF2
YSH1	CPSF3
YAT1	CPT2
CAT2	CRAT
RPC17	CRCP
SKO1	CREB5
PRY2	CRISP3
BCK1	CRKRS
CRD1	CRLS1
DAL1	CRMP1
CLF1	CRNKL1
PHR1	CRY1
PHR1	CRY2
YGL159W	CRYM
CIT2	CS
CIT1	CS
CSE1	CSE1L
HRR25	CSNK1A1
HRR25	CSNK1D
HRR25	CSNK1E
YCK3	CSNK1G1
YCK1	CSNK1G2
YCK2	CSNK1G3
CKA1	CSNK2A1P
CKA1	CSNK2A2
RNA15	CSTF2
RNA15	CSTF2T
RNA14	CSTF3
FCP1	CTDP1
PSR1	CTDSP1
PSR1	CTDSP2
PSR1	CTDSPL
PSR2	CTDSPL2
CYS3	CTH
VAC8	CTNND2
ERS1	CTNS
URA7	CTPS
URA8	CTPS2
CTR9	CTR9
YBR139W	CTSA
PRC1	CTSA
PEP4	CTSD
PEP4	CTSE
HRB1	CUGBP1
HRB1	CUGBP2
CDC53	CUL1
CDC53	CUL2
CUL3	CUL3
CUL3	CUL4A
CUL3	CUL4B
CWC22	CWC22
YGR093W	CWF19L1
YPL225W	CXorf26
CYB5	CYB5A
CYB5	CYB5B
CBR1	CYB5R2
YML087C	CYB5R3
CYT1	CYC1
CYC1	CYCS
DIT2	CYP24A1
DIT2	CYP27B1
DIT2	CYP3A4
DIT2	CYP3A43
DIT2	CYP3A5
DIT2	CYP3A7
DIT2	CYP46A1
DIT2	CYP4A11
DIT2	CYP4F11
DIT2	CYP4F12
DIT2	CYP4F2
DIT2	CYP4F22
DIT2	CYP4F3
DIT2	CYP4F8
DIT2	CYP4V2
ERG11	CYP51A1
DLD2	D2HGDH
DLD3	D2HGDH
BNR1	DAAM1
BNR1	DAAM2
OST2	DAD1
DAK2	DAK
DAK1	DAK
DPS1	DARS
MSD1	DARS2
ACB1	DBI
DBR1	DBR1
SOF1	DCAF13
YPL247C	DCAF7
YDR196C	DCAKD
PSO2	DCLRE1B
DCP2	DCP2
DCS1	DCPS
DCS2	DCPS
DCN1	DCUN1D1
DCN1	DCUN1D2
DCN1	DCUN1D3
DCN1	DCUN1D5
DDI1	DDI1
WBP1	DDOST
HCA4	DDX10
CHL1	DDX11
HAS1	DDX18
DBP5	DDX19A
DBP5	DDX19B
PRP28	DDX23
MAK5	DDX24
DRS1	DDX27
DBP7	DDX31
SUB2	DDX39
DBP1	DDX3X
DED1	DDX3Y
PRP5	DDX46
RRP3	DDX47
DBP8	DDX49
DBP2	DDX5
DBP6	DDX51
ROK1	DDX52
DBP10	DDX54
SPB4	DDX55
DBP9	DDX56
MPH1	DDX58
DHH1	DDX6
SPS19	DECR2
TMA22	DENR
IML1	DEPDC5
DFM1	DERL1
DFM1	DERL2
DFM1	DERL3
