AHR	ARNT2
ARNT	ARNT2
AHR	ARNTL
ACTR2	ARPC1A
ACTR3	ARPC1A
ACTR3B	ARPC1A
ACTB	ARPC1B
ACTR2	ARPC1B
ACTR3	ARPC1B
ACTA1	ARPC2
ACTB	ARPC2
ACTC1	ARPC2
ACTG1	ARPC2
ACTG2	ARPC2
ACTR1A	ARPC2
ACTR1B	ARPC2
ACTR2	ARPC2
ACTR3	ARPC2
ACTR3B	ARPC2
ARPC1A	ARPC2
ARPC1B	ARPC2
AC078802.1	ARPC3
ACTA1	ARPC3
ACTB	ARPC3
ACTC1	ARPC3
ACTG1	ARPC3
ACTG2	ARPC3
ACTR1A	ARPC3
ACTR1B	ARPC3
ACTR2	ARPC3
ACTR3	ARPC3
ACTR3B	ARPC3
ACTRT2	ARPC3
ARAP1	ARPC3
ARPC1A	ARPC3
ARPC1B	ARPC3
ARPC2	ARPC3
ACTR3	ARPC4
ARPC2	ARPC4
ARPC3	ARPC4
ACTR2	ARPC5
ACTR3	ARPC5
ARPC1A	ARPC5
ARPC1B	ARPC5
ARPC2	ARPC5
ARPC3	ARPC5
ARPC4	ARPC5
ACTR3B	ARPC5L
ARPC1A	ARPC5L
ARPC1B	ARPC5L
ARPC2	ARPC5L
ARPC3	ARPC5L
ARPC4	ARPC5L
ADRB2	ARR3
AGTR1	ARRB2
AP2B1	ARRB2
ARR3	ARRB2
ARF1	ASAP1
ARF1	ASAP2
ARF5	ASAP2
ARF6	ASAP2
ARF6	ASAP3
ASF1A	ASF1B
ASGR1	ASGR2
AKTIP	ASS1
ARAF	ASS1
ASCC2	ASS1
ASF1A	ATAD2
ASF1B	ATAD2
AR	ATF2
ATF2	ATF3
ATF3	ATF4
ATF6	ATF6B
ATF2	ATF7
ATG10	ATG12
ATG12	ATG3
ATG10	ATG5
ATG12	ATG5
ATG10	ATG7
ATG12	ATG7
ATG3	ATG7
AHCY	ATIC
ARL6	ATL2
ABL1	ATM
ADD1	ATP1A1
ATP13A1	ATP2C1
ATP2B4	ATP2C1
ATP13A1	ATP2C2
ATP2B4	ATP2C2
APOA1	ATP5B
ARHGDIA	ATP5B
ATP5A1	ATP5B
ATP5A1	ATP5C1
ATP5B	ATP5C1
ATP5A1	ATP5F1
ATP5C1	ATP5F1
ATP5A1	ATP5G1
ATP5B	ATP5G1
ATP5B	ATP5G2
ATP5B	ATP5G3
ATP5D	ATP5G3
ARL8B	ATP5J2
ATP5F1	ATP5J2
ATP5A1	ATP5O
ATP5B	ATP5O
ATP5C1	ATP5O
ATP5D	ATP5O
ATP5F1	ATP5O
ANG	ATP6AP1
ATP6V0A1	ATP6V0A4
ATP6V0A1	ATP6V0B
